feature,importance
Pclass,0.26422436472124927
SexIndex,0.18227480534274007
Age,0.1359974143110907
SibSp,0.062382425830811196
Parch,0.04745011675787837
Fare,0.26308866977799483
EmbarkedIndex,0.04458220325823556
